localizacion,rango,year,poblacion,porcentaje,variacionAnual
Les Corts,de 60-79,2011,18660,22.64,0.614687803
Les Corts,más de 80,2011,5826,7.07,3.334515786
Sarrià-Sant Gervasi,de 0 a 20,2011,29572,20.46,0.831969449
Sarrià-Sant Gervasi,de 20-39,2011,37278,25.79,-2.229332774
Sarrià-Sant Gervasi,de 40-59,2011,38936,26.94,0.71131114
Sarrià-Sant Gervasi,de 60-79,2011,27852,19.27,0.320570544
Sarrià-Sant Gervasi,más de 80,2011,10916,7.55,2.430327484
Gràcia,de 0 a 20,2011,17914,14.74,-0.167186803
Gràcia,de 20-39,2011,39014,32.1,-3.082846851
Gràcia,de 40-59,2011,31889,26.24,-0.604681607
Gràcia,de 60-79,2011,23562,19.39,-0.334165221
Gràcia,más de 80,2011,9161,7.54,1.036726591
Horta-Guinardó,de 0 a 20,2011,27165,15.99,0.562692037
Horta-Guinardó,de 20-39,2011,47947,28.22,-3.156937992
Horta-Guinardó,de 40-59,2011,45729,26.92,1.076433403
Horta-Guinardó,de 60-79,2011,37097,21.84,-1.264239327
Horta-Guinardó,más de 80,2011,11958,7.04,4.363763309
Nou Barris,de 0 a 20,2011,28060,16.74,0.757657367
Nou Barris,de 20-39,2011,48186,28.74,-2.752774975
Nou Barris,de 40-59,2011,43516,25.96,1.844223928
Nou Barris,de 60-79,2011,36350,21.68,-1.751446024
Nou Barris,más de 80,2011,11525,6.87,6.476348854
Sant Andreu,de 0 a 20,2011,24930,16.92,1.523049357
Sant Andreu,de 20-39,2011,43502,29.52,-1.854525765
Sant Andreu,de 40-59,2011,40780,27.67,1.078200521
Sant Andreu,de 60-79,2011,29112,19.75,0.542220687
Sant Andreu,más de 80,2011,9046,6.14,4.409048938
Sant Martí,de 0 a 20,2011,39263,16.99,1.289889843
Sant Martí,de 20-39,2011,68852,29.79,-1.195379206
Sant Martí,de 40-59,2011,65067,28.15,1.575135034
Sant Martí,de 60-79,2011,43755,18.93,-0.647138965
Sant Martí,más de 80,2011,14221,6.15,4.666225068
Barcelona,de 0 a 20,2011,261027,16.16,0.600069372
Barcelona,de 20-39,2011,488808,30.26,-2.049747814
Barcelona,de 40-59,2011,437226,27.07,0.81230704
Barcelona,de 60-79,2011,316089,19.57,-0.726440161
Barcelona,más de 80,2011,112298,6.95,3.286272706
Ciutat Vella,de 0 a 20,2010,14360,13.74,0.927748102
Ciutat Vella,de 20-39,2010,43440,41.57,-5.264535264
Ciutat Vella,de 40-59,2010,26137,25.01,-0.21379758
Ciutat Vella,de 60-79,2010,14692,14.06,-3.386598277
Ciutat Vella,más de 80,2010,5878,5.62,-1.110363392
Eixample,de 0 a 20,2010,38189,14.37,0.584718308
Eixample,de 20-39,2010,81955,30.84,-1.39091095
Eixample,de 40-59,2010,71959,27.07,-0.220472004
Eixample,de 60-79,2010,51968,19.55,-0.459699663
Eixample,más de 80,2010,21714,8.17,1.136469492
Sants-Montjuïc,de 0 a 20,2010,28406,15.53,1.042222459
Sants-Montjuïc,de 20-39,2010,58711,32.1,-0.809258321
Sants-Montjuïc,de 40-59,2010,50332,27.52,1.092632763
Sants-Montjuïc,de 60-79,2010,34227,18.71,-0.589602091
Sants-Montjuïc,más de 80,2010,11238,6.14,3.347434247
Les Corts,de 0 a 20,2010,13062,15.76,0
Les Corts,de 20-39,2010,23479,28.33,-0.928309211
Les Corts,de 40-59,2010,22158,26.73,-1.502489331
Les Corts,de 60-79,2010,18546,22.38,1.39412826
Les Corts,más de 80,2010,5638,6.8,4.330125833
Sarrià-Sant Gervasi,de 0 a 20,2010,29328,20.29,1.302200269
